Ref #,Modality,Project Name,Entity,Countries,BM,Sector,Theme,Project Size,ESS Category
FP001,PAP,"Building the Resilience of Wetlands in the Province of Datem del Marañón, Peru",Profonanpe,Peru,B.11,Public,Cross-cutting,Micro,Category C
FP002,PAP,Scaling up the use of Modernized Climate information and Early Warning Systems in Malawi,UNDP,Malawi,B.11,Public,Adaptation,Small,Category C
FP003,PAP,"Increasing the resilience of ecosystems and communities through
the restoration of the productive bases of salinized lands",CSE,Senegal,B.11,Public,Adaptation,Micro,Category C
FP004,PAP,Climate Resilient Infrastructure Mainstreaming (CRIM),KfW,Bangladesh,B.11,Public,Adaptation,Medium,Category B
FP005,PAP,KawiSafi Ventures Fund,Acumen,"Kenya, Rwanda",B.11,Private,Cross-cutting,Micro,Intermediation 3
FP007,PAP,Supporting vulnerable communities in Maldives to manage climate change-induced water shortages,UNDP,Maldives,B.11,Public,Adaptation,Small,Category B
FP008,PAP,Fiji Urban Water Supply and Wastewater Management Project,ADB,Fiji,B.11,Public,Adaptation,Large,Category B
FP009,PAP,Energy Savings Insurance (ESI) for private energy efficiency investments by Small and Medium-Sized Enterprises (SMEs),IDB,El Salvador,B.13,Public,Mitigation,Small,Category C
FP010,PAP,De-Risking and Scaling-up Investment in Energy Efficient Building Retrofits,UNDP,Armenia,B.13,Public,Mitigation,Medium,Category B
FP011,PAP,"Large-scale Ecosystem-based Adaptation in The Gambia: developing a climate-resilient, natural resource-based economy",UNEP,Gambia,B.13,Public,Adaptation,Small,Category C
FP012,PAP,Africa Hydromet Program – Strengthening Climate Resilience in Sub-Saharan Africa: Mali Country Project,WorldBank,Mali,B.13,Public,Adaptation,Small,Category B
FP013,PAP,Improving the resilience of vulnerable coastal communities to climate change related impacts in Viet Nam,UNDP,Viet Nam,B.13,Public,Cross-cutting,Small,Category B
FP014,PAP,Climate Adaptation and Mitigation Program For the Aral Sea Basin (CAMP4ASB),WorldBank,"Tajikistan, Uzbekistan",B.13,Public,Adaptation,Medium,Category B
FP015,PAP,Tuvalu Coastal Adaptation Project (TCAP),UNDP,Tuvalu,B.13,Public,Adaptation,Small,Category B
FP016,PAP,Strengthening the resilience of smallholder farmers in the Dry Zone to climate variability and extreme events through an integrated approach to water management,UNDP,Sri Lanka,B.13,Public,Adaptation,Medium,Category B
FP017,PAP,Climate action and solar energy development programme in the Tarapacá Region in Chile,CAF,Chile,B.13,Private,Mitigation,Medium,Category B
FP018,PAP,Scaling-up of Glacial Lake Outburst Flood (GLOF) risk reduction in Northern Pakistan,UNDP,Pakistan,B.14,Public,Adaptation,Small,Category B
FP019,PAP,Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations,UNDP,Ecuador,B.14,Public,Mitigation,Medium,Category B
FP020,PAP,Sustainable Energy Facility for the Eastern Caribbean,IDB,"Dominica, Grenada, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines",B.14,Public,Mitigation,Medium,Category A
FP021,PAP,Senegal Integrated Urban Flood Management Project,AFD,Senegal,B.14,Public,Adaptation,Medium,Category A
FP022,PAP,Development of arganiculture orchards in degraded environment (DARED),ADA_Morocco,Morocco,B.14,Public,Cross-cutting,Small,Category B
FP023,PAP,Climate Resilient Agriculture in three of the Vulnerable Extreme northern crop growing regions (CRAVE),EIF,Namibia,B.14,Public,Adaptation,Micro,Category C
FP024,PAP,Enpower to Adapt: Creating Climate-Change Resilient Livelihoods through  Community-Based Natural Resource Management (CBNRM) in Namibia,EIF,Namibia,B.14,Public,Adaptation,Micro,Category C
FP025,PAP,GCF-EBRD SEFF Co-financing Programme,EBRD,"Armenia, Egypt, Georgia, Jordan, Moldova, Mongolia, Morocco, Serbia, Tajikistan, Tunisia",B.14,Private,Cross-cutting,Large,Intermediation 2
FP026,PAP,Sustainable Landscapes in Eastern Madagascar,CI,Madagascar,B.14,Private,Cross-cutting,Medium,Category B
FP027,PAP,Universal Green Energy Access Programme (UGEAP),DeutscheBank,"Benin, Ethiopia, Kenya, Namibia, Nigeria, Tanzania, Uganda",B.14,Private,Mitigation,Large,Intermediation 2
FP028,PAP,MSME Business Loan Program for GHG Emission Reduction,XacBank,Mongolia,B.15,Private,Mitigation,Medium,Intermediation 2
FP033,PAP,Accelerating the transformational shift to a low-carbon economy in the Republic of Mauritius,UNDP,Mauritius,B.15,Public,Mitigation,Medium,Category B
FP034,PAP,"Building Resilient Communities, Wetland Ecosystems and Associated Catchments in Uganda",UNDP,Uganda,B.15,Public,Adaptation,Small,Category B
FP035,PAP,Climate Information Services for Resilient Development Planning in Vanuatu (Van-CIS-RDP),SPREP,Vanuatu,B.15,Public,Adaptation,Small,Category C
FP036,PAP,Pacific Islands Renewable Energy Investment Program,ADB,"Cook Islands, Marshall Islands, Micronesia (Federated States of), Nauru, Papua New Guinea, Samoa, Tonga",B.15,Public,Cross-cutting,Small,Category B
FP037,PAP,Integrated Flood Management to Enhance Climate Resilience of the Vaisigano River Catchment in Samoa,UNDP,Samoa,B.15,Public,Adaptation,Medium,Category B
FP039,PAP,GCF-EBRD Egypt Renewable Energy Financing Framework,EBRD,Egypt,B.16,Private,Mitigation,Large,Category A
FP040,PAP,Tajikistan: Scaling Up Hydropower Sector Climate Resilience,EBRD,Tajikistan,B.16,Public,Adaptation,Medium,Category B
FP041,PAP,Simiyu Climate Resilient Project,KfW,Tanzania,B.16,Public,Adaptation,Medium,Category A
FP042,PAP,Irrigation development and adaptation of irrigated agriculture to climate change in semi-arid Morocco,AFD,Morocco,B.16,Public,Adaptation,Medium,Category B
FP043,PAP,The Saïss Water Conservation Project,EBRD,Morocco,B.16,Public,Adaptation,Medium,Category B
FP044,PAP,Tina River Hydropower Development Project,WorldBank,Solomon Islands,B.16,Public,Cross-cutting,Medium,Category A
FP045,PAP,Ground Water Recharge and Solar Micro Irrigation to Ensure Food Security and Enhance Resilience in Vulnerable Tribal Areas of Odisha,NABARD,India,B.16,Public,Adaptation,Medium,Category B
FP046,PAP,Renewable Energy Program #1 - Solar,XacBank,Mongolia,B.18,Private,Mitigation,Small,Intermediation 2
FP047,PAP,GCF-EBRD Kazakhstan Renewables Framework,EBRD,Kazakhstan,B.18,Private,Mitigation,Large,Category A
FP048,PAP,Low Emissions and Climate Resilient Agriculture Risk Sharing Facility,IDB,"Guatemala, Mexico",B.18,Private,Cross-cutting,Medium,Intermediation 2
FP049,PAP,Building the climate resilience of food insecure smallholder farmers through integrated management of climate risk (R4),WFP,Senegal,B.18,Public,Adaptation,Micro,Category C
FP050,PAP,Bhutan for life,WWF,Bhutan,B.18,Public,Cross-cutting,Medium,Category B
FP051,PAP,Scaling-up Investment in Low-Carbon Public Buildings,UNDP,Bosnia and Herzegovina,B.18,Public,Mitigation,Medium,Category C
FP052,PAP,Sustainable and Climate Resilient Connectivity for Nauru,ADB,Nauru,B.18,Public,Cross-cutting,Medium,Category B
FP053,PAP,Enhancing climate change adaptation in the North coast and Nile Delta Regions in Egypt,UNDP,Egypt,B.18,Public,Adaptation,Medium,Category B
FP056,PAP,Scaling up climate resilient water management practices for vulnerable communities in La Mojana,UNDP,Colombia,B.18,Public,Adaptation,Medium,Category B
FP058,PAP,Responding to the increasing risk of drought: building gender-responsive resilience of the most vulnerable communities,MoFEC,Ethiopia,B.18,Public,Adaptation,Small,Category B
FP059,PAP,Climate Resilient Water Sector in Grenada (G-CREWS),GIZ,Grenada,B.19,Public,Adaptation,Small,Category B
FP060,PAP,Water Sector Resilience Nexus for Sustainability in Barbados (WSRN S-Barbados),CCCCC,Barbados,B.19,Public,Cross-cutting,Small,Category B
FP061,PAP,"Integrated physical adaptation and community resilience through an enhanced direct access pilot in the public, private, and civil society sectors of three Eastern Caribbean small island developing states",DOE_ATG,"Antigua and Barbuda, Dominica, Grenada",B.19,Public,Adaptation,Small,Category B
FP062,PAP,"Poverty, Reforestation, Energy and Climate Change Project (PROEZA)",FAO,Paraguay,B.19,Public,Cross-cutting,Medium,Category B
FP063,PAP,Promoting private sector investments in energy efficiency in the industrial sector and in Paraguay,IDB,Paraguay,B.19,Public,Mitigation,Small,Intermediation 3
FP064,PAP,Promoting risk mitigation instruments and finance for renewable energy and energy efficiency investments,IDB,Argentina,B.19,Public,Mitigation,Medium,Intermediation 2
FP066,PAP,Pacific Resilience Project Phase II for RMI,WorldBank,Marshall Islands,B.19,Public,Adaptation,Small,Category B
FP067,PAP,Building climate resilience of vulnerable and food insecure communities through capacity strengthening and livelihood diversification in mountainous regions of Tajikistan,WFP,Tajikistan,B.19,Public,Adaptation,Micro,Category C
FP068,PAP,Scaling-up Multi-Hazard Early Warning System and the Use of Climate Information in Georgia,UNDP,Georgia,B.19,Public,Adaptation,Medium,Category B
FP069,PAP,"Enhancing adaptive capacities of coastal communities, especially women, to cope with climate change induced salinity",UNDP,Bangladesh,B.19,Public,Adaptation,Small,Category B
FP070,PAP,Global Clean Cooking Program – Bangladesh,WorldBank,Bangladesh,B.19,Public,Cross-cutting,Medium,Category B
FP071,PAP,Scaling Up Energy Efficiency for Industrial Enterprises in Vietnam,WorldBank,Viet Nam,B.19,Public,Mitigation,Large,Intermediation 1
FP072,PAP,Strengthening climate resilience of agricultural livelihoods in Agro-Ecological Regions I and II in Zambia,UNDP,Zambia,B.19,Public,Adaptation,Medium,Category B
FP073,PAP,Strengthening Climate Resilience of Rural Communities in Northern Rwanda,MOE_Rwanda,Rwanda,B.19,Public,Cross-cutting,Small,Category B
FP074,PAP,Africa Hydromet Program – Strengthening Climate Resilience in Sub-Saharan Africa: Burkina Faso Country Project,WorldBank,Burkina Faso,B.19,Public,Adaptation,Small,Category B
FP075,PAP,Institutional Development of the State Agency for Hydrometeorology of Tajikistan,ADB,Tajikistan,B.19,Public,Adaptation,Micro,Category B
FP076,PAP,Climate-Friendly Agribusiness Value Chains Sector Project,ADB,Cambodia,B.19,Public,Cross-cutting,Medium,Category B
FP077,PAP,Ulaanbaatar Green Affordable Housing and Resilient Urban Renewal Project (AHURP),ADB,Mongolia,B.19,Public,Cross-cutting,Large,Category B
FP078,PAP,Acumen Resilient Agriculture Fund (ARAF),Acumen,"Ghana, Kenya, Nigeria, Uganda",B.19,Private,Adaptation,Micro,Intermediation 3
FP080,PAP,Zambia Renewable Energy Financing Framework,AfDB,Zambia,B.19,Private,Mitigation,Medium,Category B
FP081,PAP,"Line of Credit for Solar rooftop segment for commercial, industrial and residential housing sectors",NABARD,India,B.19,Private,Mitigation,Medium,Intermediation 3
FP082,PAP,Catalyzing Climate Finance (Shandong Green Development Fund),ADB,China,B.24,Public,Cross-cutting,Large,Intermediation 1
FP083,PAP,Indonesia Geothermal Resource Risk Mitigation Project,WorldBank,Indonesia,B.21,Public,Mitigation,Large,Intermediation 1
FP084,PAP,Enhancing climate resilience of India’s coastal communities,UNDP,India,B.21,Public,Cross-cutting,Medium,Category B
FP085,PAP,Green BRT Karachi,ADB,Pakistan,B.21,Public,Mitigation,Large,Category A
FP086,PAP,Green Cities Facility,EBRD,"Albania, Armenia, Georgia, Jordan, North Macedonia, Moldova, Mongolia, Serbia, Tunisia",B.21,Public,Cross-cutting,Large,Category A
FP087,PAP,Building livelihood resilience to climate change in the upper basins of Guatemala’s highlands,IUCN,Guatemala,B.21,Public,Adaptation,Small,Category B
FP089,PAP,Upscaling climate resilience measures in the dry corridor agroecosystems of El Salvador (RECLIMA),FAO,El Salvador,B.21,Public,Cross-cutting,Medium,Category B
FP090,PAP,Tonga Renewable Energy Project under the Pacific Islands Renewable Energy Investment Program,ADB,Tonga,B.21,Public,Mitigation,Small,Category B
FP091,PAP,South Tarawa Water Supply Project,ADB,Kiribati,B.21,Public,Cross-cutting,Medium,Category B
FP092,PAP,Programme for integrated development and adaptation to climate change in the Niger Basin (PIDACC/NB),AfDB,"Benin, Burkina Faso, Cameroon, Chad, Cote d'Ivoire, Guinea, Mali, Niger (the), Nigeria",B.21,Public,Cross-cutting,Medium,Category A
FP093,PAP,Yeleen Rural Electrification Project in Burkina Faso,AfDB,Burkina Faso,B.21,Public,Mitigation,Medium,Category B
FP094,PAP,Ensuring climate resilient water supplies in the Comoros Islands,UNDP,Comoros (the),B.21,Public,Adaptation,Medium,Category B
FP095,PAP,Transforming Financial Systems for Climate,AFD,"Benin, Burkina Faso, Cameroon, Cote d'Ivoire, Ecuador, Egypt, Kenya, Madagascar, Mauritius, Morocco, Namibia, Nigeria, Senegal, South Africa, Tanzania, Togo, Uganda",B.21,Private,Cross-cutting,Large,Intermediation 1
FP096,PAP,DRC Green Mini-Grid Program,AfDB,Democratic Republic of the Congo (the),B.21,Private,Mitigation,Medium,Category B
FP097,PAP,Productive Investment Initiative for Adaptation to Climate Change (CAMBio II),CABEI,"Costa Rica, Dominican Republic (the), El Salvador, Guatemala, Honduras, Nicaragua, Panama",B.21,Private,Adaptation,Small,Intermediation 3
FP098,PAP,DBSA Climate Finance Facility,DBSA,"Lesotho, Namibia, South Africa, Eswatini",B.21,Private,Cross-cutting,Medium,Intermediation 2
FP099,PAP,Climate Investor One,FMO,"Burundi, Cameroon, Djibouti, Ecuador, Ethiopia, India, Indonesia, Kenya, Madagascar, Malawi, Mauritius, Mongolia, Morocco, Nigeria, Philippines (the), Senegal, Tunisia, Uganda, Zambia",B.21,Private,Mitigation,Large,Intermediation 1
FP100,PAP,REDD-PLUS results-based payments for results achieved by Brazil in the Amazon biome in 2014 and 2015,UNDP,Brazil,B.22,Public,Mitigation,Medium,Category B
FP101,PAP,Resilient Rural Belize (Be-Resilient),IFAD,Belize,B.22,Public,Adaptation,Small,Category B
FP102,PAP,Mali solar rural electrification project,BOAD,Mali,B.22,Public,Mitigation,Small,Category B
FP103,PAP,Promotion of Climate-Friendly Cooking: Kenya and Senegal,GIZ,"Kenya, Senegal",B.22,Public,Mitigation,Small,Category B
FP105,PAP,BOAD Climate Finance Facility to Scale Up Solar Energy Investments in Francophone West Africa LDCs,BOAD,"Benin, Burkina Faso, Guinea-Bissau, Mali, Niger (the), Togo",B.22,Private,Mitigation,Medium,Intermediation 2
FP106,PAP,Embedded Generation Investment Programme (EGIP),DBSA,South Africa,B.22,Private,Mitigation,Large,Category B
FP107,PAP,Supporting Climate Resilience and Transformational Change in the Agriculture Sector in Bhutan,UNDP,Bhutan,B.23,Public,Adaptation,Medium,Category B
FP108,PAP,Transforming the Indus Basin with Climate Resilient Agriculture and Water Management,FAO,Pakistan,B.23,Public,Adaptation,Small,Category B
FP109,PAP,Safeguarding rural communities and their physical and economic assets from climate  induced disasters in Timor-Leste,UNDP,Timor-Leste,B.23,Public,Adaptation,Medium,Category B
FP110,PAP,Ecuador REDD-plus RBP for results period 2014,UNDP,Ecuador,B.23,Public,Mitigation,Small,Category B
FP111,PAP,Promoting climate-resilient forest restoration and silviculture for the sustainability of water-related ecosystem services,IDB,Honduras,B.23,Public,Cross-cutting,Medium,Category B
FP112,PAP,Addressing Climate Vulnerability in the Water Sector (ACWA) in the Marshall Islands,UNDP,Marshall Islands,B.23,Public,Adaptation,Small,Category B
FP113,PAP,TWENDE: Towards Ending Drought Emergencies: Ecosystem Based Adaptation in Kenya’s Arid and Semi-Arid Rangelands,IUCN,Kenya,B.23,Public,Adaptation,Medium,Category B
FP114,PAP,Program on Affirmative Finance Action for Women in Africa (AFAWA): Financing Climate Resilient Agricultural Practices in Ghana,AfDB,Ghana,B.23,Private,Cross-cutting,Small,Intermediation 2
FP115,PAP,Espejo de Tarapacá,MUFG_Bank,Chile,B.23,Private,Cross-cutting,Large,Category A
FP116,PAP,Carbon Sequestration through Climate Investment in Forests and Rangelands in Kyrgyz Republic (CS-FOR),FAO,Kyrgyzstan,B.24,Public,Cross-cutting,Small,Category B
FP117,PAP,Implementation of the Lao PDR Emission Reductions Programme through improved governance and sustainable forest landscape management,GIZ,Lao People's Democratic Republic (the),B.24,Public,Mitigation,Medium,Category B
FP118,PAP,Building a Resilient Churia Region in Nepal (BRCRN),FAO,Nepal,B.24,Public,Cross-cutting,Small,Category B
FP119,PAP,Water Banking and Adaptation of Agriculture to Climate Change in Northern Gaza,AFD,State of Palestine,B.24,Public,Cross-cutting,Small,Category A
FP120,PAP,Chile REDD-plus results-based payments for results period 2014-2016,FAO,Chile,B.24,Public,Mitigation,Medium,Category B
FP121,PAP,REDD+ Results-based payments in Paraguay for the period 2015-2017,UNEP,Paraguay,B.24,Public,Mitigation,Small,Category B
FP122,PAP,Blue Action Fund (BAF): GCF Ecosystem Based Adaptation Programme in the Western Indian Ocean,KfW,"Madagascar, Mozambique, South Africa, Tanzania",B.24,Public,Adaptation,Medium,Intermediation 2
FP124,PAP,"Strengthening Climate Resilience of Subsistence Farmers and Agricultural Plantation Communities residing in the vulnerable river basins, watershed areas and downstream of the Knuckles Mountain Range Catchment of Sri Lanka",IUCN,Sri Lanka,B.25,Public,Adaptation,Small,Category B
FP125,PAP,Strengthening the resilience of smallholder agriculture to climate change-induced water insecurity in the Central Highlands and South-Central Coast regions of Vietnam,UNDP,Viet Nam,B.25,Public,Adaptation,Medium,Category B
FP126,PAP,Increased climate resilience of rural households and communities through the rehabilitation of production landscapes in selected localities of the Republic of Cuba (IRES),FAO,Cuba,B.25,Public,Cross-cutting,Medium,Category B
FP127,PAP,Building Climate Resilience of Vulnerable Agricultural Livelihoods in Southern Zimbabwe,UNDP,Zimbabwe,B.25,Public,Adaptation,Medium,Category B
FP128,PAP,Arbaro Fund – Sustainable Forestry Fund,MUFG_Bank,"Colombia, Ecuador, Ethiopia, Ghana, Guatemala, Paraguay, Peru, Sierra Leone, Uganda",B.25,Private,Mitigation,Medium,Intermediation 1
FP129,PAP,Afghanistan Rural Energy Market Transformation Initiative – Strengthening Resilience of Livelihoods Through Sustainable Energy Access,UNDP,Afghanistan,B.26,Public,Mitigation,Small,Category B
FP130,PAP,Indonesia REDD-plus RBP for results period 2014-2016,UNDP,Indonesia,B.26,Public,Mitigation,Medium,Category B
FP131,PAP,"Improving Climate Resilience of Vulnerable Communities and Ecosystems in the Gandaki River Basin, Nepal",IUCN,Nepal,B.26,Public,Cross-cutting,Small,Category B
FP132,PAP,Enabling Implementation of Forest Sector Reform in Georgia to Reduce GHG Emissions from Forest Degradation,GIZ,Georgia,B.26,Public,Mitigation,Medium,Category B
FP133,PAP,Resilience to hurricanes in the building sector in Antigua and Barbuda,DOE_ATG,Antigua and Barbuda,B.26,Public,Adaptation,Small,Category B
FP134,PAP,Colombia REDD+ Results-based Payments for results period 2015-2016,FAO,Colombia,B.26,Public,Mitigation,Small,Category B
FP135,PAP,Ecosystem-based Adaptation in the Indian Ocean – EBA IO,AFD,"Comoros (the), Madagascar, Mauritius, Seychelles",B.26,Public,Adaptation,Medium,Category C
FP136,PAP,Resilient Landscapes and Livelihoods Project,WorldBank,Ethiopia,B.26,Public,Cross-cutting,Large,Category B
FP137,PAP,Ghana Shea Landscape Emission Reductions Project,UNDP,Ghana,B.26,Public,Cross-cutting,Medium,Category B
FP138,PAP,ASER Solar Rural Electrification Project,BOAD,Senegal,B.26,Public,Mitigation,Medium,Category B
FP139,PAP,Building resilience in the face of climate change within traditional rain fed agricultural and pastoral systems in Sudan,UNDP,Sudan,B.26,Public,Adaptation,Small,Category B
FP140,PAP,High Impact Programme for the Corporate Sector,EBRD,"Armenia, Jordan, Kazakhstan, Morocco, Serbia, Tunisia, Uzbekistan",B.26,Private,Mitigation,Large,Category B
FP141,PAP,Improving Adaptive Capacity and Risk Management of Rural communities in Mongolia,UNDP,Mongolia,B.27,Public,Adaptation,Medium,Category B
FP142,PAP,Argentina REDD-plus RBP for results period 2014-2016,FAO,Argentina,B.27,Public,Mitigation,Medium,Category B
FP143,PAP,Planting Climate Resilience in Rural Communities of the Northeast (PCRP),IFAD,Brazil,B.27,Public,Cross-cutting,Medium,Category B
FP144,PAP,Costa Rica REDD-plus Results-Based Payments for 2014 and 2015,UNDP,Costa Rica,B.27,Public,Mitigation,Medium,Category B
FP145,PAP,RELIVE – REsilient LIVElihoods of vulnerable smallholder farmers in the Mayan landscapes and the Dry Corridor of Guatemala,FAO,Guatemala,B.27,Public,Adaptation,Medium,Category B
FP147,PAP,Enhancing Climate Information and Knowledge Services for resilience in 5 island countries of the Pacific Ocean,UNEP,"Cook Islands, Marshall Islands, Niue, Palau, Tuvalu",B.27,Public,Adaptation,Small,Category C
FP148,PAP,"Participation in Energy Access Relief Facility (""EARF"")",Acumen,"Democratic Republic of the Congo (the), Kenya, Mozambique, Nigeria, Rwanda, Senegal, Sierra Leone, Uganda, Zambia",B.27,Private,Mitigation,Large,Intermediation 3
FP149,PAP,Green Climate Financing Facility for Local Financial Institutions in Latin-America,CAF,"Chile, Ecuador, Panama, Peru",B.27,Private,Mitigation,Medium,Intermediation 2
FP150,PAP,Promoting private sector investment through large scale adoption of energy saving technologies and equipment for Textile and Readymade Garment (RMG) sectors of Bangladesh,IDCOL,Bangladesh,B.27,Private,Mitigation,Medium,Intermediation 2
FP151,PAP,Global Subnational Climate Fund (SnCF Global) – Technical Assistance (TA) Facility,IUCN,"Albania, Bahamas, Brazil, Burkina Faso, Cambodia, Cameroon, Chile, Costa Rica, Cote d'Ivoire, Democratic Republic of the Congo (the), Dominica, Dominican Republic (the), Ecuador, El Salvador, Fiji, Gabon, Guatemala, Guinea, Haiti, Honduras, Indonesia, Jamaica, Jordan, Kenya, Lebanon, North Macedonia, Mali, Mauritania, Mexico, Montenegro, Morocco, Mozambique, Myanmar, Nigeria, Panama, Rwanda, Senegal, South Africa, Togo, Tunisia, Uganda, Uruguay",B.27,Private,Mitigation,Large,Intermediation 2
FP152,PAP,Global Subnational Climate Fund (SnCF Global) – Equity,PCA,"Albania, Bahamas, Brazil, Burkina Faso, Cambodia, Cameroon, Chile, Costa Rica, Cote d'Ivoire, Democratic Republic of the Congo (the), Dominica, Dominican Republic (the), Ecuador, El Salvador, Fiji, Gabon, Guatemala, Guinea, Haiti, Honduras, Indonesia, Jamaica, Jordan, Kenya, Lebanon, North Macedonia, Mali, Mauritania, Mexico, Montenegro, Morocco, Mozambique, Myanmar, Nigeria, Panama, Rwanda, Senegal, South Africa, Togo, Tunisia, Uganda, Uruguay",B.27,Private,Mitigation,Large,Intermediation 2
FP153,PAP,Mongolia Green Finance Corporation,XacBank,Mongolia,B.27,Private,Mitigation,Small,Intermediation 2
FP154,PAP,Mongolia: Aimags and Soums Green Regional Development Investment Program (ASDIP),ADB,Mongolia,B.28,Public,Cross-cutting,Large,Category B
FP155,PAP,Building resilience to cope with climate change in Jordan through improving water use efficiency in the agriculture sector (BRCCJ),FAO,Jordan,B.28,Public,Adaptation,Medium,Category B
FP156,PAP,ASEAN Catalytic Green Finance Facility (ACGF): Green Recovery Program,ADB,"Cambodia, Indonesia, Lao People's Democratic Republic (the), Malaysia, Philippines (the)",B.28,Public,Mitigation,Large,Intermediation 1
FP157,PAP,"Coastal Resilience to Climate Change in Cuba through Ecosystem Based Adaptation - ""MI COSTA""",UNDP,Cuba,B.28,Public,Adaptation,Small,Category B
FP158,PAP,Ecosystem-Based Adaptation and Mitigation in Botswana’s Communal Rangelands,CI,Botswana,B.28,Public,Cross-cutting,Medium,Category B
FP159,PAP,PREFOREST CONGO - Project to reduce greenhouse gas emissions from forests in five departments in the Republic of Congo,FAO,Congo,B.28,Public,Mitigation,Medium,Category B
FP160,PAP,Monrovia Metropolitan Climate Resilience Project,UNDP,Liberia,B.28,Public,Adaptation,Small,Category B
FP161,PAP,"Building Regional Resilience through Strengthened Meteorological, Hydrological and Climate Services in the Indian Ocean Commission (IOC) Member Countries",AFD,"Comoros (the), Madagascar, Mauritius, Seychelles",B.28,Public,Adaptation,Medium,Category B
FP162,PAP,The Africa Integrated Climate Risk Management Programme: Building the resilience of smallholder farmers to climate change impacts in 7 Sahelian Countries of the Great Green  Wall (GGW),IFAD,"Burkina Faso, Chad, Gambia, Mali, Mauritania, Niger (the), Senegal",B.28,Public,Cross-cutting,Medium,Category B
